Murray Collection Identifier	Alternative NCTC accession number (if applicable)	Strain name	Date on  tube 	Year	Genus	Designation	Origin	Colony variants (Canada) 	Original number	Date freeze-dried in NCTC 	Colony derivatives (UK)	Equivalence group	No. of plasmids	Plasmid A MW	Plasmid B MW	Plasmid C MW	Plasmid D MW	Plasmid E MW	Plasmid F MW	Plasmid G MW	16S rRNA ID result	MALDI-TOF ID Result	Positive Polyvalent antisera	Sequenced (see Table S2)
M80		NCTC 348 		ND	Salmonella	S. typhisuis			80	02/09/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M81		"Yonnie, 25"		ND	Salmonella	S. pullorum			81	02/09/1980			2	52	1.5						Salmonella enterica	Salmonella sp	N/A	Yes
M82		Mahamid	15/07/1919	1919	Shigella	Sh. sp. 			82	02/09/1980			3	64	17	1.7								No
M85		NCTC 4642 (now discarded) 	07/09/1938	1938	Salmonella	S. muenchen			85	02/09/1980		M85 M684 M685	0								Salmonella enterica	Salmonella sp	N/A	Yes
M86		NCTC 416 (now discarded) 	05/08/1940	1940	Salmonella	S. gallinarum			86	02/09/1980		M86 M577	0								Salmonella enterica	Salmonella sp	N/A	Yes
M87		Lowestoft 	01/11/1937	1937	Salmonella	S. paratyphi B 			87	15/09/1980			0										N/A	Yes
M88		Dar-es-Salaam	-/12/35	1935	Salmonella	S. daresalaam			88	02/09/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M89		NCTC 4444	07/09/1938	1938	Salmonella	S. enteritidis can. danyz			89	02/09/1980		M89 M387 M388	4	60	3.6	2.8	2.2				Salmonella enterica	Salmonella sp	N/A	Yes
M9		Superpestifer II 	04/08/1925	1925	Salmonella	S. sp. 			9	01/09/1980		M9 M25 M381 M382	1	27										No
M90		Schmitz 6 	14/07/1919	1919	Shigella	Sh. dysenteriae 2			90	02/09/1980			1	84										No
M91		3550	01/01/1920	1920	Shigella	Shigella sp. 			91	02/09/1980			0											Yes
M92		Sincos (thin) 	26/03/1918	1918	Shigella	Sh. flexneri Y 			92	02/09/1980		M92 M93 M181	1	130										No
M93		Sincos (thick) 	19/03/1918	1918	Shigella	Sh. flexneri Y 			93	02/09/1980		M92 M93 M181	1	84										No
M94		Butterworth 	09/04/1920	1920	Unknown	?	Ulcerative colitis		94	02/09/1980			0											No
M95		Andersen (Tjotta) (probably Thjotta) 	11/12/1919	1919	Shigella	Sh. sp	"From Prof. F. W. Andrewes, obtained from TJ¯TTA; Norway I W ""Anderson"":TJOTTA's Grp II"		95	03/09/1980			3	62	3.7	2.9								Yes
M96		"Newport ""Bedson"""	01/11/1937	1937	Salmonella	S. newport			96	03/09/1980			0								Salmonella enterica	Salmonella sp	N/A	No
M97		Bagdad	13/12/1946	1946	Salmonella	S. paratyphi C (S. hirschfeld) 			97	15/09/1980		M97 M206 M207 M555	1	38									N/A	No
M98		Rowlands	13/12/1946	1946	Salmonella	S. paratyphi B 			98	15/09/1980		M98 M153 	0										N/A	No
M99		47532	13/09/1932	1932	Salmonella	S. paratyphi B 			99	15/09/1980			0										N/A	Yes
