Murray Collection Identifier,WTSI sequence tag,ENA accession number,Sample name,Public Name,GC content,Total sequencing yield (kbp) ,Assembly total length (bp) ,Assembly contiguous sequences (number) ,N50,WGS genus,Salmonella MLST,Escherichia coli MLST,Klebseilla MLST ,mdtM,tetC,acrA,acrB,arnA,bacA,bcr,bl1_ec,bl2be_shv2,bl2e_fpm,bl3_cpha,catA2,catA4,emrD,emrE,fosA,ksgA,macB,mdfA,mdtE,mdtF,mdtG,mdtH,mdtK,mdtL,mdtN,mdtO,mdtP,mexB,pbp2,tetJ,tolC,Number detected,Plasmid 1 ,Plasmid 2,Plasmid 3,Plasmid 4,Plasmid 5
M509,9776_2#79,ERS203095,NCTC_M509 6836988,NCTC20161,51.75,430535,4736169,54,186495,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M510,9776_2#80,ERS203096,NCTC_M510 6837000,NCTC20162,51.75,515598,4714131,43,199913,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M514,9776_2#81,ERS203097,NCTC_M514 6836917,NCTC20163,51.75,567843,4736964,49,206314,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M516 ,9776_2#83,ERS203099,NCTC_M516 6836941,NCTC20165,52,518509,4748095,40,206309,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M517,9776_2#84,ERS203100,NCTC_M517 6836953,NCTC20166,51.75,541141,4749362,46,172045,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M520,9776_2#85,ERS203101,NCTC_M520 6836965,NCTC20167,51.75,535806,4780168,54,204301,Salmonella,1,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M227,9803_5#58,ERS222797,NCTC_M227 7222947,NCTC20343,51.75,409455,4744911,109,196840,Salmonella,139,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M132,9803_5#8,ERS222747,NCTC_M132 7223012,NCTC3158,51.75,283964,4981314,49,402333,Salmonella,185,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M284,9776_2#7,ERS203023,NCTC_M284 6836979,NCTC20097,51.8,490451,4891460,56,191655,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,
M354,9776_2#28,ERS203044,NCTC_M354 6836946,NCTC20113,51.8,534133,4571892,20,388081,Salmonella,85,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_AP001918__1__AP001918,IncFII_1__AY458016,,,
M264,8939_4#32,ERS179705,NCTC_M264,NCTC20084,51.8,321082,4736182,51,257880,Salmonella,251,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M388,9776_2#38,ERS203054,NCTC_M388 6836971,NCTC20045,51.8,534444,4716918,18,682817,Salmonella,136,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M279,9776_2#4,ERS203020,NCTC_M279 6836943,NCTC20094,51.8,478719,4876772,39,224694,Salmonella,90,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M280,9776_2#5,ERS203021,NCTC_M280 6836955,NCTC20095,51.8,547081,4878692,51,191544,Salmonella,90,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M436,9776_2#52,ERS203068,NCTC_M436 6836949,NCTC20134,51.8,539718,4878366,44,219921,Salmonella,90,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M140,8939_4#61,ERS179734,NCTC_M140,NCTC20061,51.8,264336,4919067,57,225665,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,3,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,IncI1_1_Alpha_AP005147,,
M625,9803_5#77,ERS222816,NCTC_M625 7222985,NCTC20383,51.8,297828,4676252,20,509765,Salmonella,92,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,ColpVC_1__JX133088,IncFII_S__1__CP000858,,,
M85,8939_4#12,ERS179685,NCTC_M85,NCTC20047,51.8,330963,4656258,26,530020,Salmonella,82,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M88,8939_4#28,ERS179701,NCTC_M88,NCTC20049,51.8,263660,4589909,40,419849,Salmonella,103,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Present,Absent,Present,Absent,Present,0,,,,,
M267,8939_4#40,ERS179713,NCTC_M267,NCTC20085,51.8,264063,4572124,22,399324,Salmonella,93,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M139,8939_4#53,ERS179726,NCTC_M139,NCTC20060,51.8,290727,4819078,38,280163,Salmonella,1040,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M17,8939_4#73,ERS179746,NCTC_M17,NCTC20024,51.8,271365,4740256,34,372275,Salmonella,1027,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M105,9471_7#77,ERS203188,NCTC_M105 6838837,NCTC20182,51.8,417678,4746616,39,249447,Salmonella,86,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M153,9471_7#82,ERS203193,NCTC_M153 6838802,NCTC20196,51.8,344220,4660724,44,294950,Salmonella,86,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M462,9776_2#66,ERS203082,NCTC_M462 6836927,NCTC20148,51.8,570061,4733415,44,206320,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M495,9776_2#75,ERS203091,NCTC_M495 6836940,NCTC20157,51.8,512398,4771430,35,332954,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M515,9776_2#82,ERS203098,NCTC_M515 6836929,NCTC20164,51.8,533556,4713937,40,217857,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M287,9803_5#36,ERS222775,NCTC_M287 7222968,NCTC20006,51.8,266922,4744243,41,572832,Salmonella,592,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M595,9803_5#84,ERS222823,NCTC_M595 7222974,NCTC20379,51.8,263187,4545085,26,237840,Salmonella,ND,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M301,9776_2#13,ERS203029,NCTC_M301 6836956,NCTC20103,51.85,576212,4890751,45,193377,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,
M283,9776_2#6,ERS203022,NCTC_M283 6836967,NCTC20096,51.85,552083,4893731,53,191659,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,
M66,8939_4#11,ERS179684,NCTC_M66,NCTC20038,51.85,385761,4845226,55,225057,Salmonella,19,,,Present,Absent,Present,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M10,8939_4#25,ERS179698,NCTC_M10,NCTC20018,51.85,308701,4873826,82,146022,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M89,8939_4#36,ERS179709,NCTC_M89,NCTC20050,51.85,307829,4720880,30,405746,Salmonella,136,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M384,9776_2#35,ERS203051,NCTC_M384 6836935,NCTC20119,51.85,549717,4940948,53,264583,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M134,8939_4#29,ERS179702,NCTC_M134,NCTC20059,51.85,320409,4742309,31,390709,Salmonella,15,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M65,8939_4#3,ERS179676,NCTC_M65,NCTC20038,51.85,319277,4774868,56,225710,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M135,8939_4#37,ERS179710,NCTC_M135,NCTC20059,51.85,252799,4741089,36,307743,Salmonella,15,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M210,8939_4#39,ERS179712,NCTC_M210,NCTC20077,51.85,281492,4566740,21,399700,Salmonella,93,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M73,8939_4#43,ERS179716,NCTC_M73,NCTC20041,51.85,327668,4751101,35,376250,Salmonella,31,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M79,8939_4#91,ERS179764,NCTC_M79,NCTC20045,51.85,325280,4660618,42,278440,Salmonella,26,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M685,9471_7#46,ERS203157,NCTC_M685 6838845,NCTC20316,51.85,410781,4663753,22,526304,Salmonella,82,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M684,9471_7#47,ERS203158,NCTC_M684 6838857,NCTC20315,51.85,422312,4665447,17,893745,Salmonella,82,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M333,9471_7#91,ERS203202,NCTC_M333 6838815,NCTC20224,51.85,379398,4733100,31,523310,Salmonella,31,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M359,9776_2#29,ERS203045,NCTC_M359 6836958,NCTC20114,51.85,518115,4710827,43,206360,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M286,9803_5#29,ERS222768,NCTC_M286 7222979,NCTC20005,51.85,301116,4745147,50,580724,Salmonella,592,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M275,8939_4#96,ERS179673,NCTC_M275,NCTC20090,51.9,298078,4840570,36,368891,Salmonella,ND,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncFIB_pHCM2__1_pHCM2_AL513384,,,,
M247,8939_4#87,ERS179760,NCTC_M247,NCTC20081,51.9,269199,4565619,26,362461,Salmonella,85,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncFII_1__AY458016,,,,
M270,8939_4#64,ERS179737,NCTC_M270,NCTC20087,51.9,331449,4635619,53,200745,Salmonella,1370,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,
M476,9776_2#70,ERS203086,NCTC_M476 6836975,NCTC20152,51.9,549852,4701432,47,213044,Salmonella,138,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,
M246,8939_4#79,ERS179752,NCTC_M246,NCTC20081,51.9,303337,4567620,25,252090,Salmonella,85,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_AP001918__1__AP001918,IncFII_1__AY458016,,,
M556,9471_7#32,ERS203143,NCTC_M556 6838867,NCTC20252,51.9,423737,4572945,25,362282,Salmonella,85,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_AP001918__1__AP001918,IncFII_1__AY458016,,,
M133,8939_4#21,ERS179694,NCTC_M133,NCTC20058,51.9,318279,4729227,29,375687,Salmonella,814,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M130,8939_4#5,ERS179678,NCTC_M130,NCTC20056,51.9,319777,4853883,54,374088,Salmonella,1499,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M4,8939_4#9,ERS179682,NCTC_M4,NCTC20016,51.9,298848,4869957,69,259346,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M573,9471_7#23,ERS203134,NCTC_M573 6838854,NCTC20261,51.9,424942,4667963,27,489945,Salmonella,ND,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M387,9776_2#37,ERS203053,NCTC_M387 6836959,NCTC20045,51.9,504475,4718576,22,639642,Salmonella,136,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M179,9803_5#63,ERS222802,NCTC_M179 7223007,NCTC20332,51.9,311758,4727898,46,190683,Salmonella,145,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M554,9803_5#70,ERS222809,NCTC_M554 7222996,NCTC20376,51.9,311463,4607651,48,188353,Salmonella,147,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M149,8939_4#93,ERS179670,NCTC_M149,NCTC20065,51.9,301104,4947519,67,223026,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,3,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,IncI1_1_Alpha_AP005147,,
M81,8939_4#4,ERS179677,NCTC_M81,NCTC20046,51.9,337194,4728068,27,425242,Salmonella,92,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,ColpVC_1__JX133088,IncFII_S__1__CP000858,,,
M202,8939_4#15,ERS179688,NCTC_M202,NCTC20075,51.9,278347,4679547,43,223839,Salmonella,362,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M68,8939_4#19,ERS179692,NCTC_M68,NCTC20039,51.9,303546,4794537,58,401481,Salmonella,31,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M86,8939_4#20,ERS179693,NCTC_M86,NCTC20048,51.9,285006,4605487,23,405354,Salmonella,78,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M268,8939_4#48,ERS179721,NCTC_M268,NCTC20086,51.9,320803,4572942,25,491474,Salmonella,93,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M141,8939_4#69,ERS179742,NCTC_M141,NCTC20062,51.9,294165,4715957,58,277483,Salmonella,16,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M201,8939_4#7,ERS179680,NCTC_M201,NCTC20074,51.9,369581,4643775,35,322690,Salmonella,26,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M271,8939_4#72,ERS179745,NCTC_M271,NCTC20088,51.9,324266,4784625,38,323921,Salmonella,1027,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M77,8939_4#75,ERS179748,NCTC_M77,NCTC20043,51.9,293829,4601547,25,385865,Salmonella,249,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M553,9471_7#33,ERS203144,NCTC_M553 6838784,NCTC20251,51.9,490629,4581906,52,153725,Salmonella,ND,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M499,9517_1#1,ERS203207,NCTC_M499 6670658,NCTC20232,51.9,907603,4749161,38,294928,Salmonella,86,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M451,9776_2#56,ERS203072,NCTC_M451 6836997,NCTC20138,51.9,523236,4609507,15,820805,Salmonella,249,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
